,Business Name,URL
0,"SUMTER COATINGS, INC.",sumtercoatings.com
1,"PLEASANT PLACES, INC.",pleasantplaces.com
2,BOYER CHILDREN'S CLINIC,boyercc.org
3,KIRTLEY CONSTRUCTION INC,x
4,AERO BOX LLC,aeroboxllc.com
5,HUDSON EXTRUSIONS INC.,hudsonextrusions.com
6,FRUIT COVE BAPTIST CHURCH OF JACKSONVILLE FL INC,fruitcove.com
7,MIAMITOWN AUTO PARTS AND RECYCLING INC,miamitownautoparts.com
8,POPPYCOCKS INC,poppycockstc.com
9,CHURCH SQUARE PHARMACY INC,churchsquarepharmacy.com
10,"MILFAST INDUSTRIAL SUPPLY, INC",milfast.com
11,FERNANDINA BEACH HOTEL GROUP LLC,myfloridalicense.comLicenseDetail.asp%3FSID%3D%26id%3D690C0BCD3EE5A972F1CA3FD8EA976D32
12,OTTAWA PRODUCTS CO INC,ottawaproducts.com
13,"KAKIVIK ASSET MANAGEMENT, LLC",kakivik.com
14,"ARCTIC SLOPE NATIVE ASSOCIATION, LTD.",arcticslope.org
15,CORVUS AIRLINES INC,ravnalaska.com
16,HOPE COMMUNITY RESOURCES INC.,hopealaska.org
17,SOUTH PENINSULA HOSPITAL INC,sphosp.org
18,"TYONEK GLOBAL SERVICES, LLC",tyonek.com
19,"TYONEK WORLDWIDE SERVICES, INC.",tyonek.com
20,"COPPER RIVER SEAFOODS, INC.",copperriverseafoods.com
21,MATANUSKA TELEPHONE ASSOCIATION,mtasolutions.com
22,"I. C. E. SERVICES, INC",iceservices.net
23,"TATITLEK TECHNOLOGIES, INC.",tatitlek.com
24,"NORTHERN ENERGY SERVICES, LLC",nes-ak.com
25,KATMAI HEALTH SERVICES LLC,katmaicorp.comour-serviceshealthcare-services
26,CRUZ CONSTRUCTION INC,cruzconstruct.com
27,"YULISTA TACTICAL, LLC",yulista.comsubsidiariesyulista-tactical-services-llc
28,AHTNA SUPPORT AND TRAINING SERVICES LLC,ahtna.comdoing-business-with-ahtnasecurity-services
29,HOMER ELECTRIC ASSOCIATION INC,homerelectric.com
30,TIKIGAQ CORPORATION,tikigaq.com
31,TEYA SERVICES LLC,teyaservices.com
32,TATONDUK OUTFITTERS LTD,x
33,DENA' NENA' HENASH,tananachiefs.orgabout
34,"TYONEK MANUFACTURING GROUP, INC.",tyonek.com
35,"RESOURCE DATA, INC",resourcedata.com
36,"COLVILLE, INC.",colvilleinc.com
37,"MRD, INC.",x
38,ENGINEERED SOLUTIONS GROUP,esgrp.net
39,"ALLEN MARINE TOURS, INC.",allenmarinetours.comsitka
40,"TUNISTA SERVICES, LLC",calistacorp.comsubsidiarytunista-services-llc
41,"GEONORTH, LLC.",tatitlek.comour-servicesgeonorth-llc
42,"FULLFORD ELECTRIC, INC.",fullfordelectric.com
43,"PRUHS CONSTRUCTION CO., L.L.C.",x
44,ALYESKA RESORT OPERATIONS LIMITED PARTNERSHIP,x
45,"ALASKA HEART INSTITUTE, LLC",alaskaheart.com
46,"ORTHOALASKA, LLC",orthoak.net
47,AHTNA ENVIRONMENTAL INC,ahtna.comdoing-business-with-ahtnaenvironmental
48,ALCAN ELEC. & ENGINEERING INC.,yelp.combizalcan-electric-corp-new-york
49,"KAWERAK, INC.",kawerak.org
50,TRAILBOSS TX LLC,trailbossinc.com
51,"GREAT NORTHWEST, INC.",grtnw.com
52,"NEESER CONSTRUCTION, INC.",neeserinc.com
53,"BEACON OCCUPATIONAL HEALTH AND SAFETY SERVICES, INC.",beaconohss.com
54,"CENTRAL ENVIRONMENTAL, INC.",beringstraits.comcei
55,CENTRAL COUNCIL TLINGIT & HAIDA INDIAN TRIBES OF ALASKA,ccthita.org
56,"AHTNA CONSTRUCTION &AMP; PRIMARY PRODUCTS COMPANY, LLC",ahtnaconstruction.com
57,LIFEMED ALASKA LLC,lifemedalaska.com
58,"BERING AIR, INC.",beringair.com
59,PND ENGINEERS INC,pndengineers.com
60,"GRANT AVIATION, INC.",flygrant.com
61,DAVIS CONSTRUCTORS & ENGINEERS,davisconstructors.com
62,"JL PROPERTIES, INC",jlproperties.com
63,ANCHORAGE NEIGHBORHOOD HEALTH CENTER INC,anhc.org
64,"ANCHORAGE COMMUNITY MENTAL HEALTH SERVICES, INC.",alaskabehavioralhealth.orgaboutabout-us-2
65,"DENALI FOODS, INC.",business.alaskachamber.comlistmemberdenali-foods-inc-bda-taco-bell-2915
66,"ADVANCED SUPPLY CHAIN INTERNATIONAL, LLC",ascillc.com
67,ALASKA VILLAGE ELECTRIC,avec.org
68,"FAMILY CENTERED SERVICES OF ALASKA, INC.",familycenteredservices.com
69,"FAIRWEATHER, LLC",fairweather.com
70,AHTNA PROFESSIONAL SERVICES INC,ahtna.comdoing-business-with-ahtnasecurity-services
71,KETCHIKAN INDIAN COMMUNITY,bia.govbiaoistribal-leaders-directorytribesketchikan
72,"ALASKA CENTRAL EXPRESS, INC.",aceaircargo.com
73,"KATMAI SUPPORT SERVICES, LLC",katmaicorp.com
74,"SAMSON TUG AND BARGE COMPANY, INC.",samsontug.com
75,"PDC, INC",pdceng.com
76,PREMIER ALASKA TOURS INC,premieralaskatours.com
77,ANCHORAGE FRACTURE & ORTHOPEDIC CLINIC,afoc.com
78,"SOURDOUGH EXPRESS, INC",sourdoughexpress.com
79,NEW HORIZONS TELECOM INC.,nhtiusa.com
80,FOUNTAINHEAD DEVELOPMENT INC,w.fdifairbanks.com
81,NORTHERN ENERGY SERVICES LLC,nes-ak.com
82,WHITTIER SEAFOOD LLC,whittierseafood.com
83,ALCAN ELECTRICAL AND ENGINEERING INC,x
84,FAMILY CENTERED SERVICES OF ALASKA INC,familycenteredservices.com
85,COLVILLE INC.,colvilleinc.com
86,ALLEN MARINE TOURS INC.,allenmarinetours.comsitka
87,FRESH ALE PUBS LIMITED LIABILITY COMPANY,x
88,FILM-ON PRODUCTIONS LIMITED LIABILITY,x
89,MIDNIGHT MOON COMPANY INC.,x
90,NANA WORLEY LLC,nanaworley.com
91,"ALASKA TRAVEL ADVENTURES, INC.",alaskatraveladventures.com
92,NORTHERN HOSPITALITY GROUP INC,northernhospitalitygroup.com
93,AHTNA' T'AENE NENE',crnative.org
94,COPPER RIVER SEAFOODS INC.,copperriverseafoods.com
95,FAIRWEATHER LLC,fairweather.com
96,THE ARC OF ANCHORAGE,thearcofanchorage.org
97,THE ARC OF ANCHORAGE,thearcofanchorage.org
98,SAMSON ELECTRIC INC.,sei-ak.com
99,"SAMSON ELECTRIC, INC",sei-ak.com
100,"ALASKA INDUSTRIAL HARDWARE, INC.",aih.com
101,ILISAGVIK COLLEGE,ilisagvik.edu
102,ALASKAN BREWING COMPANY LLC,alaskanbeer.com
103,THE BREWS BROTHERS LLC,x
104,THE SUPERIOR GROUP INC,superiorpnh.com
105,PREMIER ALASKA TOURS INC,premieralaskatours.com
106,KENDALL ALASKA LLC,kendallautoalaska.com
107,"GUARDIAN SECURITY SYSTEMS, INC.",guardiansecuritysys.com
108,HICKEL INVESTMENT COMPANY,hickelinvestment.comteam
109,"ARCTIC SLOPE TELEPHONE ASSOCIATION COOPERATIVE, INC.",astac.net
110,NORTHERN HOSPITALITY GROUP,northernhospitalitygroup.com
